Hindi,Mundari
"वरुण सिंह भी मौत से कई दिन तक जांबाजी से लड़े, लेकिन फिर वो भी हमें छोड़कर चले गए।",वरूण सिंह ओ गोनोःए ते चिमिन दिन जाकेद जांबाज लेका ते अए लड़ाइ जना मेनदो तायोम ते इनिः ओ अबु के बागि केते सेनोः जनए।
इस प्रकार से सोहराई पर्व गाय-बैलों के साथ मिलकर मनाया जाता है।,नेका ते सोहराई पोरोब उरि केड़ा कोलो जमा केयाते मानातिड.ो तना।
बाघ (चित्र 5.4) उन स्पीशीज में से एक हैं जो धीरे-धीरे हमारे वनों से विलुप्त होते जा रहे हैं।,बाघ (चित्र 5.4) एन स्पीशीज को मेसे रे मियद् तनिः जे मंडि-मंडि अबुअः बिर कोआते अदो  तनको।
"सीने में जलन होती थी sir, फिर मैंने डॉक्टर को दिखाया डॉक्टर ने पहले तो बताया हो सकता है बेटा तुम्हारे एसिड होगी, तो मैंने काफी दिन एसिड की दवाई कराई , उससे जब मुझे फायदा नहीं हुआ फिर डॉक्टर कपूर को दिखाया, तो उन्होंने कहा बेटा तुम्हारे जो लक्षण हैं उससे angiography से पता चलेगा, फिर उन्होंने refer किया मुझे श्री राम मूर्ति में।","अइंञअः कुड़म लो तन तइकेना गोमके, एनते अइंञ डॉक्टर के देखव रिका जइंञ डॉक्टर सिदा दो उदुब केदए होबा दाड़िओअ होन अमअः रे एसिड मेनअः, दो अइंञ इसु दिन एसिड रअः रानु रिका केदंञ, एना ते ओ जब अइञके फायदा का होबा जना एनते डॉक्टर कपूर केइंञ देखव किजा, दो इनिः काजि केदए होनिइंञ कोड़ा, अमअः जे लक्षण मेनअः एनाते अनजोयोग्राफी ते सरिओःअ, एनते इनिः अइंञके श्री राम मूर्ति रे रेफर किदिंञअए।"
"दुगा-ऐ, दादाजी ! किसलिए आपने दो बाते कहे ?","रिडु - हेला, अजा! चिलकाते बरिअम कजिकेदा ?"
रिड़ु-इस तरफ के कुछ कुछ लोग सरहुल में हिरण का मांस या किसी जंगली जन्तु को बलि देते हुए मैंने देखा है।,रिडु- नेतेरेन तरामरा को बा‘रे सरम जिलु कारे जान बिर जिलु बोंगा तनइड. लेलअकदकोअ।
सुनिता - मलेरिया तो मच्छर के काटने से होता है।,"सुनीता- ""रबङ रूआ दो सिकिड़िः हुअअः ते होबा ओआ।"""
(बूढ़े की ओर) बेटी ने कह भेजा है। एक दिन जा आओ।,"(हाड़ाम मुलि) होन कुड़ि कजि कुलतादा, मुसिङ लेका सेनाउकोः में।"
"साथियो, जब हम कुछ नया करने का सोचते हैं, Innovative सोचते हैं, तो, ऐसे काम भी संभव हो जाते हैं, जिनकी आम-तौर पर, कोई कल्पना नहीं करता, जैसे कि, बिहार के कुछ युवाओं को ही लीजिये |","सोंगेको, जबगे अबु नवा रिका रअः बु उड़ुया, Innovation उड़ुःया, दो, नेकान कमियो होबाओः, आकेकोन अः साधारण लेकाते, जेतान उडु़ः का तेबा गोः, चिलका चि, बिहार रेन हुड़िङ लेका दंगड़ा को गे इदि कोपे।"
"एक अच्छी बात ये भी है, कि, हमारे Unicorns diversifying हैं।",मियद् बुगिन कजि नेअः तनअः चि अबुअःUnicorns सलेद को अउ जदा।
मदरा मुण्डा दुलारी दीदी और सिनगी दीदी दोनों कि बातें सुन ली।,मदरा मुण्डा दुलारी दाई आद् सिनगी दाई तकिन कजि अयुम केदा।
उसके लिए चरागाह भी रखते हैं?,"इन कुअःमेनते रखा तसदो पेजोगाव जद्? हे, एनतअः ले गुपिज द्कोआ।"
कौशिक ने ही मानहानि की याचिका दी है।,कौशिक गे मानहानि रअः याचिका ओमतादाएः।
जला- बनगया ! जिस तरह अधिकांश लोग मंजूर कर रहे हैं इसी तरह होना चाहिए।,जला- बइजना! ओका लेका संगिको मनजुरजदा एनकागे होबओःका।
"बन्डुआ- इस तरह में वे लोग स्वीकार नहीं करेंगे और डायन की पहचान होने पर भी वे बलि के लिए नहीं निकालेंगे ‘‘आपका प्रेतात्मा हम लोगों को नुकसान पहुंचा रहा है’’ कह के किसी ईसाई को कहने पर वह आप से कहेगा-‘‘आप ही लोग प्रेतात्माओं को मान रहे हैं, आप लोगों के प्रेतात्माएं शायद आप लोगों को नुकसान पहुंचा रहे हैं।","बनडुअ - एनकादो काको मनजुरेअ, अद् नजोम मेनते सबूतिजनरेओ, दंड़े काको उड़ङएअ ""अमअः बोंगा नोकोसानजद्लेअ"" मेनते जा किरतानेम कजिअइ रेदोए मेतअमा, ""अपेगे दङ बोंगाकोपे मनतिङतना; अपेअः बोंगाकोगे जाअः नोकोसानजद्पेअ।"
"मुद्रा योजना, stand up योजना, जन-धन account, ये ब्याजखोरों से मुक्ति का एक सफल अभियान है।","मुद्रा जोजना, stand up  जोजना, जन -धन खाता,, नेया को ब्याजखोर कोःते ते बंचव तेः मियद् सफल अभियान तनः।"
"वे दोनो हल चलायें और घासों का उखड़ौनी करें, मैं तो कहीं पर नौकर रह कर जीवन निर्वाह कर लूंगा, ताकत लगाने पर कहां पर जीवन निर्वाह नहीं होगा ?",सीअकिङकाए अद्किङ हेड़ेद् तुसङएका; अइङ दो जारेगेङ दसि असुलेना; पेड़ेः अटेद्लेरे ओको तअःरे का आसुला?
मैंने अपने चारो बक्सों को करंज के पेड़ों के बीच रखा।,अइङ अइङआ अपुनिआ बकसा को कोरोंजो दरू तला रेइङ जोगव केदा।
"यह बोंगा, करम बोंगा बन जाने के बाद सिद्धी कबेर देव बनता है।",ने बोंगागे करम बोंगाजनचि मेरमेर खाट बोंगाए बइना।
पेड़ पर सालू और मुण्डा मैना अपना घोंसला बनाकर अपने बच्चों के साथ रहती थी।,एन दरू रे मोयोद् सालू मैनो अद् मुण्डा मेनो किंग पोवाः कद् को तैकेना।
"पहले की तरह वो रटे-रटाये, बने-बनाये उसी route पर नहीं चला जाता है, वो कुछ नया करना चाहता है, वो कुछ नया देखना चाहता है।","सिदा लेकागे रटाव/कंठस्थ ते बइआ कन एन   रे का सेन दाड़िओआ, इनिः तारा तेआः को नवा मे रिकाए सनंङा इनि तारा तेआको नवा गे लेलले सनंङ तना।"
इस पत्रिका से नया शब्दों को सृजित किया गया।,ने सकम रे नवा मुंडा टुङ को सिरजव जना।
इसी महीने जापान में आई विकराल सुनामी को 10 वर्ष हो रहे हैं।,नेअः चंड़ुः गे जपान रे हिजुः लेन विकराल सुनामी रअः 10 सिरमा होबाओः तना।
"मेरे प्यारे देशवासियो, आज, घर-घर की अगर कोई एक कहानी सब दूर सुनाई देती है, हर गाँव की कोई एक कहानी सुनाई देती है – उत्तर से दक्षिण, पूर्व से पश्चिम, हिंदुस्तान के हर कोने से, एक कहानी सुनाई देती है तो वो है स्वच्छता की |","आञा दुलाड़ा दिशुम रेन होड़ोको, तिसिङ ओड़अः-ओड़अः रअः जोदी जान मियद कहनी सोबेन सांगिन आयुमोअ तना, सोबेन हातु रअः जेतन मियद कहनी आयुमोअवा कटा जम्बाड़ाते बोओ कुन्दुड़ी, सिंगी तुरोअ ते सिंगी तुरोअ ते सिंगी हसुरोअः हिन्दुस्तान रअः सोबेन कोनाते, मियद कहनी आयुमोअ तना दो एना तना स्वच्छता रअः।"
मीना के पति हल-बैल लेकर खेत-चले जाते।,मीनाअः ओड़अः होड़ो अरंड़ा-उरि को पीड़ितेए हर जद को तइकेना।
"बिहार जैसी घनी आबादी वाले राज्य तथा जम्मू-कश्मीर व लद्दाख जैसे दुर्गम व चुनौती भरे क्षेत्रों में स्वतंत्र, निष्पक्ष और सुरक्षित चुनाव सम्पन्न कराना हमारे लोकतन्त्र एवं चुनाव आयोग की सराहनीय उपलब्धि रही है।","बिहार लेका घनी  आबादी लेकान राज्य आर जम्मू-कश्मीर ओड़ोः लद्दाख लेका दुर्गम ओडो चुनौती पेरे टयद् रे स्वतंत्र, निष्पक्ष ओड़ो सुरक्षित होबा रिका कराना अबुअः लोकतंत्र आर चुनाव आयोग अः सराहनीय उपलब्धि ताइकेना।"
रन्दाय-ऐसा नहीं हो सकता है। अधिक डर होने पर नहीं भागने का सोच नहीं आता है।,"रनडाए - एनका होबा दड़िओअ। बोरो जो'रजनरेदो, काइङ निरा मेनते का दङ उड़गोअ।"
दासी बच्ची को आग के घेरे में घेर कर उसकी रखवाली करती थी।,कमिरिग कुड़ि एन् होन् के जनव मज लेकए जोगव जऐ तैकेन्।
कौन-सा कार्य आसान है विराम अवस्था से किसी बॉक्स को गतिशील कराना अथवा किसी गतिशील बॉक्स को उसी दिशा में सरकाना।,ओको कमि सहजा विराम अवस्था ते जान बक्सा के गतिशील इका चि जान गतिशील  बक्सा के एन दिसा रे सरकव।
"आज की डिजिटल दुनिया में, Google गुरु के समय में, मैं आपसे भी आग्रह करूँगा कि कुछ समय निकालकर अपने दैनिक दिनचर्या में किताब को भी जरुर स्थान दें।","तिसिङ रेअः डिजिटल दुनिया रे, गुगल रोटिन रे किताबको रओः जरूड़ु टयद् ओमोका।"
"एकासि टांड़, तिरासि बादि में असुर लोग रात दिन लोहा गलाने, सानने का काम चल रहा था।","एकासि पिड़ि, तिरासि बादि रे असुर को निदा सिंगि मेंडेद गेको गलव तन सिपुद तन तइकेना।"
कोई लोग तो नाचने घुमने लगे हैं।,ओकोए दोए सुसुन वियुर तना।
दुरगा के साथ रइगड़ा के मेहमानलोग छोटे घर में सो गये।,दुरगा लोः रइगड़ा कुपुको हुड़िड. त्र्प्रोड़त्र्प्रःरेको गितिःजना।
आप सभी के लिए मैं यहाँ कन्नड़ा में गाए उनके एक गीत को शेयर कर रहा हूँ।,अपे सोवेन कोआ मेनते अइञ नेता: कन्नड़ा रे दुरंङ लेद अमगा मिद दुराइए अपेलोओ तेइ हटिंङ (अयुम रिका जदा)।
रिड़ु-चलो तुम दोनों कहो।,रिडु - मर कजिलेबेन।
मुझे नये सिरे से शुरूआत करने की जरूरत हे।,आञ मोद एटेः आते एटेः रअः जरूड़ु मेनाः।
पहले पाइपलाइन का उपयोग शहरों व उद्योगों में पानी पहुँचाने हेतु होता था।,सिदा पाइपलाइन रअः उपयोग सहर कोरे ओड़ो उद्ययोग कोरे दअः सेटेर नङ होबाओ तइना।
गिरजा के दिन लड़का लड़की एक दूसरे को देखकर आने जाने में और अच्छा रहेगा।,"गिरजा हुलड. कोड़ा कुड़िकिड. लेपेलकोःते,हिजुः सेनोगोःगे त्र्प्रोड़ो बुगिनोःत्र्प्र।"
"अगर, मैं पूरे यूरोप की जनसंख्या गिन लूं, करीब-करीब उतनी ही जनसंख्या भारत में इस आयुष्‍मान भारत के लाभार्थी बनने वाले हैं।","जुदि अइञ् समुचा यूरोप रअः जनसंख्या लेकाएअङ, एनका-नेकाते इमनङ गे जनसंख्या भारत रे ने आयुष्मान भारत रेन लाभार्थी बइओः मेन्ते मेनअः कोअ।"
एक प्रकार से हर त्योहार दूसरे त्योहार की प्रतीक्षा को छोड़कर चला जाता है।,मिद् लेकाते सोबेन पोरोब एटअः पोरोब के बेगर तांगि ते सेनोगा।
लेकिन एकमात्र सांत्वना इस बात की है कि बहुत से लोगों की जान बचाई जा सकी है।,मेनदो मियद जी रड़ेः कजि नेअः गे तना चि बेसे होड़ोकोअः जीदन बु बंचव दड़ि जना।
"लोहार अब उसे उलट पुलट करके देख रहा है और उससे कह रहा है-‘‘इस बलुआ में मोरा धान है, इसे हर दिन घर में ही रखे रहिए, संयोग से कोई बदल सकता है, इसे आपके घर में रहते तक में खर्च ऐसा ही रहेगा।’’","बड़ए नाअःदोए लेलबड़ाजदा अद्ए मेतअइतना, ‘‘ने कपिरे पोटोम बबा मेनअः; नेअ जनव ओड़अः रेगे दो’अकम, सोनजोको ओकोनिः जाअः बदलातगे; नेअ अमअः ओड़अःरे तइन बारि, करचा नेकागे तइना।’’"
"रिड़ु-कभी कभी दिख जाता है, अधिक नहीं।",रिडु -एना रअः चिना एरे ओडोः चुनुरगेड. पहमजदा ओडोःदो का।
"आप इसको आगे बढ़ाइए और ये काम एक प्रकार से भ्रष्टाचार और काले धन के खिलाफ़ जो लड़ाई है, इसमें बहुत बड़ी अहम भूमिका है इसकी।","अपे नेआ अयर ते बढ़वेपे ओड़ोः नेआ कमि मिद् रोकोम रअः भ्रष्टाचार ओड़ोः काले धन रअः खिलाफ रे ओकोअ लड़ाई मेनअः, नेआ रे पुरअः गे मरङ अहम भूमिका मेनअः नेआ रअः।"
सड़कों पर जाती हुई ये लड़कियाँ बड़ी गंभीर दिखती थीं।,होराको रे सेनोः तन ने कुड़िको इसु गंभीर को लेलोः तन तइकेना।
किसलिए यह अच्छा नहीं है ?,चिलकाका बुगित्र्प्र?
"जैसे - मधुमख्यीयों का रस बह रहा है चू रहा है,इचा फूल,पलास फूलों से मन्द मन्द खुशुबु आ रही है और इसी रमणिय बेला में कहीं से बाँसुरी की मधुर आवाज आ रही है जो पूरे वातावरण में घुम रहा है।",हुरूम सुकु रसि लिंगि जोरो तन इचा बा मुरूद बा ते मोगो मोगो इम सुरूद रे बल तन रूतु सड़ि ते गोटा गमय गुम्बराओआ।
रिड़ु-तुमने हाट के आदमियों को देखा है क्या ?,रिडु -पीटि होड़ोकोम लेलअकदकोअ चि ?
इसी तरह करते करते जंगलों के पेडों को काट कर सफाई किये और अच्छे उपजाउ खेतों को तैयार किये।,"एनका एनकाते बिर पएलजना, अद् बुगिन बुगिन ओतेको तेअरजना।"
"कुछ विद्वानों का कहना है, कि नदियाँ सूख गई थीं।",तरा सेंड़ान होड़ो कोअः कजि तनअ: चि गाड़ा को रोहोड़ो जना।
आप अपनी उस यात्रा के कुल बजट में स्थानीय उत्पादों की खरीदी को एक महत्त्वपूर्ण प्राथमिकता के रूप में जरुर रखें।,अम अमअः एनतः यात्रा रअः सोबेन खर्चा रे स्थानीय जिनीस को किरिङ मेनते मियद जरूड़ु रे एना एटेः रअः जरूड़ु जोगावएपे।
फिल्म के कई दृश्य स्तब्ध कर देने वाले हैं।,फिलिम रेन बेसे लेनेलको अकादानदा रिका  लेका मेनाः।
आप भी उस समुदाय से संतुष्ट होंगे।,अम ओ एन बिरादरी ते संतुसटोःमे।
काली चींटी डंडों को बांध रही है।     (2),टोनटो मुइः टेमबा तोल्अना।
"अगले महीने हम फिर मिलेंगे, और फिर ऐसे ही ढ़ेर सारे विषयों पर बात करेंगे।",अएअर चनडु: एटः समते नापाम होबाओअ आर नेकागे देर संगि बिसइ कोरा:बु जागारा ।
"मुसलमान, कुरान शरीफ़ को अपना धर्मग्रंथ मानते हैं, केवल एक ईश्वर अल्लाह की सत्ता को स्वीकार करते हैं","तुड़ुकु, कुरान शरीफ के अकोअः धरम ग्रंथ को मनातिङतना, मियद बारी गे सिंङबोंगा (ईश्वर) अल्लाहः सत्ता को सुकुअः तना ।"
उसी समय ही पेड़ आदमी को कहता है- तुम इंसान सब कभी भी किसी समय पेड़ के निचे जाएंगे तो हम सबको काटते हुए ही पाओगे।,"इमतङ गे दारू होड़ोए: मेताइ तना- ""अपे मनोवा होनको जां इमतङ जेता इमतङ दारू सुबापे सेनको; चि अले मअः तेगे पे नमलेआ।"
मुण्डारी भाषा की पहचान इस प्रकार है,मुण्डारी जगर रेआ उनुरूम को नेका मेना
"मन की बात की 101वीं कड़ी में प्रधानमंत्री का सम्बोधन 28 May, 2023","जिबोन रेअः जगर को 101वीं कड़ि रे प्रधानमंत्रीअः केनेड़ाः (28 May, 2023)"
ने लेकान टुंङ रेअ: टुंडु बोजा बनि रे मुनु बनि (स्वर्ण-वर्ण) 'आ' रेअ: बनितोङ चिना (मात्रिक चिन्ह) (ा) काए: जोटो: अकदा।,इस प्रकार के व्यंजन वर्ण के शब्दांत में स्वर्ण-वर्ण 'आ' का मात्रिक चिन्ह) (ा) नहीं लगाया गया है।
जोतो किसान को सेड़ॉओआ। हतु अयार ते सेसेना।,सभी किसान शिक्षित होंगे। गाँव आगे बढ़ेगा।
मैं एक बार फिर से टीम के सभी खिलाड़ियों को बधाई देता हूँ।,अइङ ओड़ोः मोसा टीम रेन सोबेन खिलाड़िको बधाईइङ ओमाको तना।
तुमने तो जमीन नहीं चौड़ी की है; तुमने लकड़ी चीरने का काम किया।,श्रमदो श्रोते काम चकरना; दरुम हदुजना ।
"लेकिन कुछ कुछ साहेब लोग गंजे हैं, क्या उनलोगों को चोरदेया ने चाट दिया था कि किस कारण से वे गंजे हो गये ?’’",मेनदो तरामरा सयोबको चड़ेअकना; इनकुइ जलकेद्कोअ चि चिलकातेको चड़ेजना ?
"पउदा-यदि आपने सीधे सीधे कह दिये होते तो मैं समझ जाता शायद, लेकिन आपके द्वारा घुमावदार रूप में कहते समय मुझको पता नहीं चला।",पउदा-सो’जेतेम कजिकेद्रेदोइङ बुजबजना होनङ; मेनदोम अन-तड़लेद् दिपिलि काइङ मुनडिलअः।
"और इसलिए, भाईयों-बहनों भ्रष्‍टाचार दीमक की तरह देश को खोखला कर रहा है।",ओड़ो: एनामेनते हगा - मिसि को भ्रष्टाचार नींदर लेका दिसुम के को खोखला जदा।
भारी संख्या में कंपनी के सिपाहियों ने सभा स्थल को घेर लिया और अचानक गोलियाँ चलाना आरम्भ किया।,"इसु संगि कंपनीअ सिपइ को एन दुनुब् टयद् को बियुर केदा, आद् अचकातेगे गोलि चलव को एटेः केदा।"
"उनमें नृत्य की उमंग, साथी को नाचने का निमन्त्रण, अन्य गाँवों में चलने की तैयारी, वादकों और नाचनेवाले संगी-साथियों के व्यवहार, नृत्य की थकान और परेशानी, युवतियों के प्रति मधुर उपालम्भ आदि बहुत-सी बातों का वर्णन है।","एनारे सुसुन-रसिका, सोंगेके सुसूनि मेन्ते एलाइ, एटआ हतुको रे सेनओं रअ तेयारेन, सड़ीको ओड़ओ सुसुन गतिसोंगेको जपगरे, सुसुन लगा ओड़ओ परेसानी, धंगिड़िकोवआ मेन्ते निरल निन्दा लेकन इसु पुरअ लेकन कजिका रअ बरनिको मेनअं।"
फिर लड़की ने राजा से शादी कर ली।,इमिन रेयो इनियः अड़ान्दी राजा लोः होबा जना ।
"मैं समाज के सभी वर्गों से, हर गाँव, कस्बे में और शहर के निवासियों से अपील करता हूँ, करबद्ध प्रार्थना करता हूँ कि इस वर्ष गाँधी जयंती, एक प्रकार से हमारी इस भारत माता को प्लास्टिक कचरे से मुक्ति के रूप में हम मनाये।","आत्र समाज रेन सोबेन जतिको ते, मिमियद हतु, टोला रे ओड़ो: सहर रेन ताइन तन‌को ते अजरि तना, गोटा जी ते अजरि तना चि ने सिरमा गाँधी जयंती, मिद रोकोम ते अबुअ: ने भारत एंगा के जरजालियद दुम्बु ते राड़ा रेअ: युटन रे अबु मनातिङ ।"
नारायण सिंह - डुनडिगड़ा दुकनसए केसा आदमी था ?,नरायनसिङ - डुनडिगड़ा दुकनसए चिलकानिः तइकेना ?
"जनसंख्या वृद्धि का अर्थ होता है, किसी विशेष समय अंतराल में, जैसे 10 वर्षों के भीतर, किसी देश/राज्य के निवासियों की संख्या में परिवर्तन।","होड़ो लेनेका पोसइ रेअः ओरोतो होबाओ तना, जांन मूद् समोए बिनगा रे चिलका गेल सिरमा को रेअः बितर, जांजन दिसुम/राइज रेन तइनत न होड़ोकोअः लेनेका रे बदलि।"
अब हमदोनों झगड़ा करना बन्द करते हैं।,नाअः दो एपेरङलिङ होकाएअ।
प्रायः उपज का 1/6 वां हिस्सा कर के रूप में निर्धारित किया जाता था जिसे भाग कहा जाता था।,"मेनदो चासा रअः 1/6 वाँ हिसा मलगुजारी रेआ मुटन रेको जोगव जद् तइकेना,नेआः हनाटिंङ कजिओ तन तइकेना।"
"कुछ लोगों ने बाज़ार में लाभ कमाया, जबकि कुछ को खरीदने-बेचने से कुछ खास लाभ नहीं हुआ।","कुछ लोगों ने बाज़ार में लाभ कमाया, जबकि कुछ को खरीदने-बेचने से कुछ खास लाभ नहीं हुआ।"
"इसमें केवल 5,685 किमी. मार्ग ही मशीनीकृत नौकाओं द्वारातय किया जाता है।","नेआरे 5,685 किलोमीटर होरा बारि रेगे मशीनीकृत नौका को सेसेन तना।"
"अब मैं एक ऐसी बात बताने जा रहा हूँ, जिससे आपको आनंद भी आएगा और गर्व भी होगा।","नअः आञ  मिअद् नेकन जागर उटुःब सेनोः तनाञ , नेआते आपे बेे रासिकाःओ आपे बेसे रासिकाःओ आपे ओड़ोः गर्व एआपे।"
उस सभा में यह ठान लिया गया कि हमें किसी भी तरह से बलिदार देना भी पडे़ फिर भी हम काग्रेस की तरह “पूर्ण स्वराज्य से एक कदम पीछे नहीं हटेगे।,एन सभा रे नेआ ठनव जाना चि जेता इमिनागे बलिदान ओम होबाओ रेओगे आबु कांग्रेस लेकागे 'पूर्ण स्वराज्य' आते मिद चंगा जाकेद काबु पेछुआओना।
मुण्डारी - अतुतन दिरी का गादेदोआ - नदी में लुढ़कते हुए पत्थर पर कोई कोई नहीं होता।,मुंडारी - अतुतन दिरि का गादेदोआ ( नदी में लुढ़कते हुए पत्थर पर काई नहीं हाता)
"विविध प्रकार के इंजीनियरिंग सामान, निर्माण सामग्री, रक्षा, चिकित्सा, टेलीफोन वैज्ञानिक उपकरण और विभिन्न प्रकार की उपभोक्ता वस्तुओं के निर्माण के लिए इस्पात की आवश्यकता होती है।","बिनगा-बिनगा रोकोम रअः इंजीनियरिंग जिनिस, निर्माण सामग्री, रक्षा, चिकित्सा टेलीफोन वैज्ञानिक जिनिस ओड़ोः एट्अः रोकोम रेन उपभोक्ता जिनिस कोरअः बनई लइते इस्पात रअः रअः जरुडु होबाओः आ।"
"उरलु- रोग प्रेतात्मा को निकालने के लिए क्या, रोग को औरतों के द्वारा भगवायेंगे ?",उरलु - रो’गो बोंगाा ऊड़ुङ मेनते रो’गो चि कुड़िकोले हर रिकाकोअ?
वह मान अपमान को भी नहीं पहचान कर सकता है।,बुल होड़ो बुगिन आर एदकानारे फरक काएः उरूम दाड़िआ।
जो दूसरे भाषा के व्यकिृ है वे ये हैंः-,एटाः होड़ो कोरे निकु तनकु -
"सोचने के साथ ही वह कह रहा है- आज बुधवार है, कल बृस्पतिवार, परसों नहीं, आने वले शनिवार के दिन मैं घर पर नहीं रहूॅगा।","उड़ू:तनलोः ए मेनजदा तिसिङ दो बुदु, गपा बिरसपइति, मेअङ का; इनदिरिः सनिचार एन हुलङ ओड़अ: रे काइङ तइना।"
तभी हम उन अनगिनत स्वतंत्रता सेनानियों का सपना पूरा कर पायेंगे।,तोवे एनांङ अबु एन कालेकाओ स्वतंत्रता सेनानि कोआ कुमु पूरा रिका दाड़िओआ।
इसमें चौदह नई श्रेणियाँ और जोड़ दी हैंI,नेअ: रे गेल उपुन नवा संगोम ओडो: जोडव कदा ।
इंसानियत का जरा भी ख्याल नहीं किया जाता।,इंसानियत राः मोदचोकोएःओ जी रे काको उड़ुइया।
"अब विचार कीजिए, 1857 से चल रहा है...नक्‍शा बनाना है तो सरकार को पूछिए,","नाः दो बिचार लेपे, 1857 आते सेसेन ताना.... नकशा बाइ मेनाः दो सरकार कुलि लागातिङा,"
और मुझे बताया गया इस पूरे movement को सबसे ज्यादा lead किया है – जम्मू-कश्मीर के उस इलाके की महिलाओं ने।,अद अयंकं केको उदुबईंअ  चि ने सोबेन उवअमउमदज रे पुरअः उतर समंक लेदअको-जम्मू-काश्मीर रेन इन टयद रेन कुड़िको।
"इन दिनों फेसबुक, ट्विटर और इंस्टाग्राम पर तंजानिया की दो भाई-बहन किलि पॉल और उनकी बहन नीमा ये बहुत चर्चा में हैं, और मुझे पक्का भरोसा है, आपने भी, उनके बारे में जरुर सुना होगा।","निमिर बरसिंङ फेसबुक, टृविटर ओड़ोः इंस्टाग्राम रे तंजानिया रेन बर होड़ोः हगा-मिसि किलि पोल ओड़ोः इनिआः मिसिते कुड़ि नीमा निः इसु पुरअःए उमिआः कना, ओड़ोः अइंञ मजाइंञ बोरसा तना चि अएःओगे, इनिआः बारे रे जरूड़ु पे अयुमाः कद गेआ।"
उस पवित्र धरती को नमन करने का अवसर मिला।,एन पवित्र ओते के नमन रेअ: मोका नम।
"रइगड़ा-ऐ, बाबू, वह कौन मिशन के ईसाई आदमी हैं ?","रइगड़ा - अते, बबू, इनिः ओको मिसनरेन किरतान होड़ो ?"
"नरेंद्र ने उस बात के मर्म को समझा और कहा - “कई बार हमलोग ऐसे चीजों से मिलते हैं श्रद्धा, सम्मान देते हैं, उन सभी में भगवान (सिंहबोंगा )” बसे हैं।",नरेंद्र एन जागर रे उकुआ कान मोरोम ता बुजाओ केआते होपोर किआ; कुटुरि टाए हांडेद केदा। नरेन्दर के होपोर रे दुब किआ आर आएआ मेद रे मेद टेकाव केआते श्रीरामकृष्ण मंड़ि-मंड़िते समाधि रेएडुंबुइ जाना।
मैं तो समझता था कि शहरों में रहने वाले लोग काफी अमीर होते हैं?,अइञ उड़ुः जद तइकेना चि शहर कोरे पुरअः किंसङ होड़ो को मेनअः कोआ?
दुकुरा- हां और ! चिड़ियों और चूहों के बारे में मैंने बात किया।,दुकुरा - ए’अ ओड़ोः ! चेड़ेंको अद् कटेअकोअः दोइङ जगरकेदा ।
"पीने के लिए पानी दे दीजिए, तुरत अभी मैं चला जाता हूँ।’’",नूइ दअः ओमकिङमे; नाअःगेङ सेनोअ।”
"बैरियर एलविन के पुस्तकों में - ‘‘फोकटेल्स ऑफ महाकौषल’’ ‘‘मिथ्स ऑफ मिडिल इण्डिया’’ ‘‘ट्राइवल मिथ्स ऑफ उड़ीसा’’ , ‘‘सांग्स ऑफ द फोरेस्ट’’ आदि हैं।",बैरियर एलविन पुथि कोरे - ‘‘फोकटेल्स ऑफ महाकौष’’ ‘‘मिथ्स  ऑफ मिडिल इण्डिया’’ ट्राइवल मिथ्स ऑफ उड़ीसा’’ साग्स ऑफ द फोरेस्ट’’ को तनाः।
सागु मुण्डा जी ने ‘‘मुण्डा कोआ इतिहास’’ पुस्तक लिखी है।,सागु मुंडा तकिन मुंडा कोआ इतिहास पुथि किन बइ केदा।
"भारत की geography ऐसी है जो हमारे देश में  adventure Sports के लिए ढेरों अवसर प्रदान करती है। एक तरफ जहाँ ऊँचे – ऊँचे पहाड़ हैं तो वहीँ दूसरी तरफ, दूर-दूर तक फैला रेगिस्तान है।","भारत रआ geography  नेका मेना जो अबुआ दिशुम रे adventure Sports मेनते हुण्डि गिड़िया मोका ओमे तना। मिद सआः जहां सलगि-सलंगि बुरू मेना दो एनता एटाः साः, सगिन-संगिन सनते विलकान रेगिस्ता (गितिल) मेना।"
सरेःजन रे मंडि ओड़ोः जिलु ओड़अः ते काको इदिअ मेनदो जयर रेगे को तोपा तुकअः ।,"बच जानेपर भात और मांस को घर नहीं ले जाते हैं, लेकिन जयर स्थल में ही दफना देते हैं।"
